År;Dödade;Skadade;Varav svårt skadade;Bilar i trafik vid årets slut (1000);Bensinleveranser (1000 m3);Invånare vid årets slut (1000);Dödade per 100 000 Bilar;Dödade per 100 000 Invånare;;
1950;595;10583; ;345; ;7042;172.463768115942;8.4493041749503;;
1951;708;11240; ;410; ;7099;172.682926829268;9.97323566699535;;
1952;750;12846; ;466; ;7151;160.944206008584;10.4880436302615;;
1953;921;15033; ;542; ;7192;169.926199261993;12.8058954393771;;
1954;942;16963; ;652; ;7235;144.478527607362;13.0200414651002;;
1955;902;18050; ;755;1531;7290;119.470198675497;12.3731138545953;;
1956;889;19220;3275;855;1657;7341;103.976608187135;12.1100667483994;;
1957;946;19934;3277;987;1738;7393;95.8459979736575;12.7958880021642;;
1958;941;20859;3104;1098;1893;7436;85.7012750455373;12.6546530392684;;
1959;1000;21475;3137;1216;2011;7471;82.2368421052632;13.3850890108419;;
1960;1036;21536;2983;1324;2127;7498;78.2477341389728;13.8170178714324;;
1961;1083;22989;3031;1439;2318;7542;75.2605976372481;14.3595863166269;;
1962;1123;22438;2942;1562;2394;7581;71.8950064020487;14.8133491623796;;
1963;1217;23400;3068;1697;2609;7628;71.714790807307;15.954378605139;;
1964;1308;24935;3370;1810;2857;7695;72.2651933701657;16.9980506822612;;
1965;1313;23618;3158;1934;3043;7773;67.8903826266805;16.8918049659076;;
1966;1313;21430;4700;2033;3165;7843;64.5843580914904;16.7410429682519;;
1967;1077;21001;5304;2126;3292;7893;50.6585136406397;13.6450019004181;;
1968;1262;23028;6111;2223;3451;7935;56.770130454341;15.9042218021424;;
1969;1275;23199;6529;2350;3635;8004;54.2553191489362;15.9295352323838;;
1970;1307;22230;6614;2446;3781;8081;53.4341782502044;16.1737408736543;;
1971;1213;21872;7031;2513;3870;8115;48.2690011937923;14.9476278496611;;
1972;1194;21256;6657;2618;4025;8129;45.607333842628;14.6881535244187;;
1973;1177;22551;7264;2667;4251;8144;44.1319835020622;14.4523575638507;;
1974;1197;20902;6982;2809;3921;8176;42.6130295478818;14.6404109589041;;
1975;1172;20809;6728;2931;4383;8208;39.9863527806209;14.2787524366472;;
1976;1168;21843;6679;3060;4624;8236;38.1699346405229;14.1816415735794;;
1977;1031;20916;6529;3039;4811;8267;33.92563343205;12.4712713197049;;
1978;1034;20573;6431;3042;4945;8284;33.9907955292571;12.481892805408;;
1979;928;19552;6036;3059;4913;8303;30.3367113435763;11.1766831265808;;
1980;848;19246;6064;3077;4751;8318;27.5593110172246;10.1947583553739;;
1981;784;18554;5984;3093;4679;8323;25.347559004203;9.41968040370059;;
1982;758;19277;5950;3143;4712;8327;24.1170855870188;9.10291821784556;;
1983;779;19803;6063;3222;4834;8331;24.1775294847921;9.35061817308847;;
1984;801;20635;6068;3305;5028;8343;24.2360060514372;9.60086299892125;;
1985;808;20671;5814;3383;5067;8358;23.8841265149276;9.6673845417564;;
1986;844;21614;5804;3497;5328;8382;24.1349728338576;10.0691958959675;;
1987;787;20468;5423;3626;5534;8414;21.7043574186431;9.35345852151177;;
1988;813;22838;5869;3764;5739;8459;21.5993623804463;9.61106513772313;;
1989;904;23531;5790;3887;5910;8527;23.2570105479804;10.6016183886478;;
1990;772;22497;5501;3925;5630;8591;19.6687898089172;8.98614829472704;;
1991;745;21057;4832;3945;5751;8644;18.8846641318124;8.61869504858862;;
1992;759;20727;4705;3906;5879;8692;19.431643625192;8.73216751035435;;
1993;632;19741;4334;3882;5590;8745;16.2802679031427;7.22698684962836;;
1994;589;21083;4221;3912;5655;8816;15.0562372188139;6.68103448275862;;
1995;572;21173;3965;3953;5761;8837;14.4700227675183;6.4727848817472;;
1996;537;20810;3837;3981;5683;8844;13.4890730972118;6.0719131614654;;
1997;541;21280;3917;4053;5577;8848;13.3481371823341;6.11437613019891;;
1998;531;21356;3883;4145;5427;8854;12.810615199035;5.99728936074091;;
1999;580;21964;4043;4259;5464;8861;13.6182202394928;6.54553662114886;;
2000;591;22032;4104;4388;5361;8883;13.5;6.7;;
2001;583;22330;4056;4428;5422;8909;12.5;6.2;;
2002;560;24747;4592;4468;5515;8941;11.9;6,0;;
2003;529;27103;4664;4511;5547;8976;11.7268898248725;5.89349376114082;;
2004;480;26582;4022;4570;5546;9011;10.5032822757112;5.32682277216735;;
2005;440;26459;3915;4633;5506;9048;9.5;4.9;;
2006;445;26636;3959;4701;5363;9113;9.5;4.9;;
2007;471;26749;3824;4782;5253;9183;9.84943538268507;5.12904279647174;;
;;;;;;;;;;
;;;;;;;;;;